original,original_token_count,compressed,compressed_token_count,uncompressed_alt_one,uncompressed_alt_two
"How would you describe the differences between Indian and Western music, especially as it relates to the sense of pitch?",23,,,,
Who were King Aenys I Targaryen's children?,16,,,,
How do airplanes land?,6,,,,
Give me a list of benefits of swimming,9,,,,
"Given a reference text about Minister for Food, Agriculture and Fisheries of Denmark, when was the position created and was was it named?",28,,,,
What is hybrid working?,5,,,,
"Which of the following movies is not from the Harry Potter Franchise? 
-  Order of the Phoenix.
- Goblet of Fire.
- Sorcerer's Stone.
- Chamber of Secrets.
- The Fellowship of the rings.",53,,,,
What has the IETF ALTO working group accomplished?,12,,,,
What is a calendar?,6,,,,
Who invented Boltzmann Machines?,9,,,,
"Given these paragraphs about Large language models, when did LLMs emerge?",16,,,,
List the television series Kang Se-jung appeared in,11,,,,
"Tell me whether these are European countries or names of bands: Spain, France, Norway, the Czech Republic, Denmark, Portugal, Brazil, South Africa, Canada, China, Orca, Gorillas, Camel, Bee Gees, Coldplay, Green Day, Lamb of God, Maroon 5, Pink Floyd",66,,,,
What causes leaves to change color in fall,8,,,,
Imagine you are the last person on Mars. Write a diary entry describing your thoughts and feelings.,21,,,,
The Bud Freeman All-Stars featuring Shorty Baker,12,,,,
What two colors are used in the Canadian flag?,10,,,,
Who was the first player sent off during a soccer match?,13,,,,
"Which of the following grow on trees?: apples, lemons, potatoes, carrots",18,,,,
How can I change a bad habit?,9,,,,
Give me some of the most famous characters Marvel Comics has produced from this list.,17,,,,
What text data set examples of Generative artificial intelligence,11,,,,
Write the first paragraph of a blog post describing the appeal of gravel bikes in the bay area.,21,,,,
What are some interesting facts about tigers?,10,,,,
"How many full-length ""The X-Files"" movies are there?",17,,,,
"Classify each of the following music genres as broadly popular or niche: Rock, Hip Hop, Pop,   Heavy Metal, Bluegrass, Country",29,,,,
What is the difference between a bath and a shower?,13,,,,
What is the national bird of India,7,,,,
What is insurance?,4,,,,
What are the steps to put an elephant into a fridge?,13,,,,
"Given a reference text about Will Ferrell, tell me where he kickstarted his career, what group of comic actors he is considered part of, and how many Golden Globe Award nominations he has.",45,,,,
How long is a mile?,7,,,,
Name a few Bhakti poets from the passage.,13,,,,
Why is basketball the fastest growing sport in the world?,11,,,,
What is the difference between Malayalam and Malayalaee?,16,,,,
How does interest rates and inflation impact bond prices?,10,,,,
Why is pickleball the greatest sport on the planet?,12,,,,
Extract the areas of science using differential equations in this text in an alphabetically ordered list.,19,,,,
What are calibration frames in astrophotography?,11,,,,
"Write 5 distinct, unique and creative statements that help someone think about Friedrich Nietzsche's ""Beyond Good & Evil"", which critically analyzes the idea of binaries in complexity",40,,,,
What civilization built temples across the Yucatan peninsula?,12,,,,
Why do we say tip of the iceberg?,11,,,,
"Classify the following as either airplanes or helicopters:
- EC-135
- DC-10
- Antonov An 225
- Boeing 787
- Bell 206
- MD-500
- MD-11
- Airbus A320
- Airbus H165
- Cessna 172",69,,,,
Think of things to do in a place with cold winters. Provide answer as a bullet list.,22,,,,
"If you are considering buying a bicycle consider your budget, look up the reviews online, talk to friends, and test them out!",27,,,,
"Identify which instrument is string or percussion: Wobble board, Scheitholt",18,,,,
What is a Fully paid share?,8,,,,
"What happened on September 11, 2001?",7,,,,
Who is the company Novartis,7,,,,
"Identify which instrument is string or woodwind: Cimboa, Sipsi",17,,,,
"Classify each country as ""African"" or ""European"": Nigeria, Rwanda, Portugal, Romania, Ghana, Ukraine",26,,,,
What was Charles Dickens last (unfinished) novel,12,,,,
Why do you like ballet so much?,8,,,,
"Given this paragraph about Pablo Escobar, how much money did he have when he died?",21,,,,
"Given a reference text that describes about hotpot, from which country does this dish originate?",19,,,,
"Summarise the basic rules of soccer, without using examples from the text",16,,,,
"Given this reference text about Cy Young, what type of work did his family do while he was growing up, how many older siblings did he have, and what two states did he live in as a child?",46,,,,
What movie make Kevin Smith famous?,7,,,,
"Given this paragraph about the terrain of the Iberian Peninsula, tell me the highest point in the peninsula and its altitude.",26,,,,
What are the Fallas in Spain?,9,,,,
What is the coldest month in Warsaw and how cold does it get on average?,18,,,,
Why were the majority of African countries controlled by military dictatorships during the 1970's and 1980's?,23,,,,
"Identify which instrument is string or percussion: Kemence, Castanets",18,,,,
Tell me about the botanical garden?,7,,,,
"From the passage provided, extract the year Adani group was founded.",14,,,,
Why do people like the Grateful Dead?,10,,,,
What is love?,4,,,,
Extract what units are strong against countering cavalry from the following text,15,,,,
What is parkrun,4,,,,
what are the earliest contests?,8,,,,
Can you please explain the offside rule in Soccer?,11,,,,
Who invented the game of basketball?,7,,,,
Name the women who visited International Space Station for repairing of ISS,14,,,,
What is a hurricane?,6,,,,
"Classify the following major cities based on the typical weather in December if it is generally cold or generally warm: Chicago, Illinois; New York City, New York; and Miami, Florida",39,,,,
Name some of the objects in the solar system,9,,,,
What are vinyl records?,5,,,,
Please note down some points regarding Austrian Cup  from the given text,13,,,,
Who was Pythagoras?,10,,,,
Name five teams in Liga Portugal.,7,,,,
tell me a name which is colour and fruit,10,,,,
What is CST 11,5,,,,
Q: Is hand sanitizer effective against COVID-19?,17,,,,
How do I make good pour over coffee?,9,,,,
"Classify the products based on the brand.
Android, safari, chrome, iOS, Alexa, prime videos",23,,,,
What is use of bezier curve in Robotics?,12,,,,
Extract the two names of the TV show series mentioned in this paragraph,13,,,,
What are the healthiest cooking methods for preparing meals?,13,,,,
What is the difference between a detail and an Inference,12,,,,
"From the passage provided,  find the names of the sequels to the movie Captain America: The First Avenger. Separate them with a comma.",34,,,,
"Tell me whether these are rivers or oceans: Nile, Amazon, Ganges, Hudson, Rhine",23,,,,
"Identify the first run broadcast network (ABC, NBC, or CBS) of the following TV shows:
Castle, Chicago Fire, CSI, ER, Grey's Anatomy, Scandal, Seinfeld, Magnum PI",53,,,,
How do you get your pilot's license?,10,,,,
Think up of a bunch of different gifts you could give a teacher,15,,,,
"categorize some popular sports as either 'safe', 'not so safe' or 'dangerous'.",27,,,,
"My husband and I are planning a ten-day trip to Italy in September, is this a good time to visit?",27,,,,
What's the best part of having children?,10,,,,
Which ski resorts are close to Seattle?,9,,,,
"Using given text, extract as many definitions of science fiction",13,,,,
According to the passage what is the best way of making progress with mathematics?,15,,,,
Extract the year that the Volvo XC40 was released.,13,,,,
What are symptoms of ‘Attention Deficit Hyperactivity Disorder (ADHD)’?,20,,,,
"Which of these shoe types are appropriate for running; boat shoes, derby shoes, hiking shoes, high heels, sneakers, sandals, tennis shoes, skating shoes, boats, mules",38,,,,
What is the best place for tacos in San Francisco?,13,,,,
Name some of the countries who have won the cricket world cup,12,,,,
Provide a possible jurisdiction section for a federal civil rights complaint leaving blanks for the location.,20,,,,
Who was the prophet Muhammad (pbuh)?,11,,,,
Extract all risk factors for developing cardiovascular diseases for which numbers about their  contribution are given and rank them by their relative importance.,24,,,,
What is the Altair based on the paragraph?,11,,,,
"Given a reference text about Kennebunkport, tell me its neighboring towns and where it is located.",23,,,,
How much money did George Lucas get for selling Lucasfilm to Disney?,14,,,,
Summarize this paragraph,5,,,,
What is dopamine?,6,,,,
When was the first Fallout game released?,9,,,,
What are some tricks to baking a really good cake?,12,,,,
Who is the haas formula 1 team principal?,11,,,,
Where did Bob Ross learn to paint?,8,,,,
Who was the first Time Magazine Man of the Year?,11,,,,
What is Sleet?,7,,,,
What is impala?,5,,,,
Provide a bulleted list of things to think about when buying a house,17,,,,
"Identify which animal species is alive or extinct: Iguanodon, Irrawaddy Dolphin",23,,,,
"Classify each of the following as safe or unsafe to eat for a human: hamburger, metal plate, iPhone, onion, tree, potato chip, candle, ice cream, backpack, sweater, boiled egg.",46,,,,
Where is the town of Guasipati,10,,,,
What was written in Ski-U-Mah?,12,,,,
Tell me an uplifting story about a recently departed dear friend and how she continues to inspire and guide me.  Use references from Star Wars to drive the point home.,35,,,,
"Hello, how are you?",6,,,,
What are the three major Abrahamic religions?,10,,,,
Provide a summary of Nora Forster's career based on this passage.,18,,,,
Who is the best all-time chess player?,12,,,,
