"original","summarization","original_token_count","compression_token_count","compression_ratio"
"List five titles by Veronica Roth.","List five Veronica Roth titles.","7","6","0.86"
"What is a classified board of directors, and why would a company want to implement this type of corporate structure?","What is a classified board of directors, and why would a company implement it?","22","16","0.73"
"Name someone who helped to stash national treasures during a war, so irreplaceable items would not fall into the hands of the enemy or become lost","Name someone who hid national treasures during wartime to prevent enemy capture or loss.","29","16","0.55"
"When did money originate?","Origin of money?","5","4","0.8"
"Provide a dot point list of six different games I can play with a pack of cards.","Provide a dot-point list of six different card games.","18","11","0.61"
"What is the difference between Angular and AngularJS?","Angular vs AngularJS difference?","10","6","0.6"
"What is a small-world network?","Small-world network?","7","4","0.57"
"What is a time signature in music?","Time signature in music?","8","5","0.62"
"I am looking at items on my desk right now, tell me which ones are actually considered office accessories.","Which desk items are office accessories?","21","7","0.33"
"How many years were Ian Kemps masterly culmination of his career at Manchester?","How many years were Ian Kemps masterly culmination of his career at Manchester?","16","16","1.0"
"When was Suntory established?","When was Suntory established?","6","6","1.0"
"What were the horcruxes in the Harry Potter book series?","What were the horcruxes in the Harry Potter series?","14","13","0.93"
"What are four movies with Sandra Bullock.","Four Sandra Bullock movies.","9","6","0.67"
"What is the keto diet?   Is it a good way to lose weight?","Keto diet: what is it? effective for weight loss?","16","13","0.81"
"Given a reference text about the American Society for Clinical Investigation (ASCI), what research does the society support?","From a reference text about ASCI, what research does the society support?","22","15","0.68"
"If you are going to the beach for the day with your family of five, which includes young children, determine whether the following items are either 'helpful', 'not helpful', or ' impractical'. The items are: sunscreen, bottles of water, 20 shovels, boots, snacks, towels, sand toys, 20 shovels, a parachute, and a grand piano.","Beach day with a family of five (young children). For each item, classify as 'helpful', 'not helpful', or 'impractical'. Items: sunscreen, bottles of water, 20 shovels, boots, snacks, towels, sand toys, 20 shovels, a parachute, and a grand piano.","81","69","0.85"
"Please give short summary of Habiaganj Bazar railway station based on below","Brief summary of Habiaganj Bazar railway station based on below.","16","15","0.94"
"From the passage provided, extract the total customers using the format: {x} number of customers

Product revenue of $555.3 million in the fourth quarter, representing 54% year-over-year growth
Remaining performance obligations of $3.7 billion, representing 38% year-over-year growth
7,828 total customers
Net revenue retention rate of 158%
330 customers with trailing 12-month product revenue greater than $1 million
Authorized a $2.0 billion stock repurchase program","From passage, extract total customers in format: {x} number of customers","101","15","0.15"
"Based on this paragraph about religions of the world, what are the ""big five"" religions?","From this world religions paragraph, list the Big Five.","19","11","0.58"
"What does the theme songs of Jaws, Star Wars, and Harry Potter have in common?","What do Jaws, Star Wars, and Harry Potter themes have in common?","19","16","0.84"
"Who wrote The History of Mr Polly","Who wrote The History of Mr Polly","7","7","1.0"
"Is it safe for dogs to eat grapes?","Are grapes safe for dogs?","9","6","0.67"
"Is UBS a good bank","Is UBS a good bank","5","5","1.0"
"In what century was the airplane commercialized?","What century was the airplane commercialized?","9","8","0.89"
"Identify which instrument is string or percussion: Snare drum, Zither","String or percussion: Snare drum, Zither","14","10","0.71"
"What is Stanley B. Goldenberg's profession?","Stanley B. Goldenberg profession?","10","8","0.8"
"Give me three reasons why basketball is so popular.","Three reasons basketball is popular.","10","6","0.6"
"Please give an overview of the show ""Scrubs"" highlighting unique characteristics of the sitcom.","Overview of Scrubs, highlighting its unique characteristics as a sitcom.","18","13","0.72"
"Few creative ways we can market products and services in modern era?","Few creative marketing ideas for modern products/services?","13","9","0.69"
"Who wrote The Originals?","The Originals author?","5","4","0.8"
"Where is New Hampshire?","New Hampshire location?","5","4","0.8"
"Which is the most populous city in the United States","Most populous city in the US?","10","7","0.7"
"Who are the rivals of the Air Force Falcons Football team?","Air Force Falcons football rivals?","12","6","0.5"
"What is a SuperDisk?","What is SuperDisk?","6","5","0.83"
"What is the game called Lacrosse","What is Lacrosse?","7","5","0.71"
"How can a drought impact food supplies, and what effect does this change have?","How does drought affect food supplies and what are the consequences?","16","12","0.75"
"Tell me about the American Civil War","American Civil War overview","7","4","0.57"
"Why did a William the Conqueror, a Frenchman, become the King of England?","Why did William the Conqueror, a Frenchman, become the King of England?","19","18","0.95"
"Which are the main reasons for doing a PhD?","Main reasons to pursue a PhD?","11","8","0.73"
"What is the population of Breezy Point city in Minnesota?","Breezy Point, MN population?","12","8","0.67"
"How do you play Baseball?","How to play baseball?","6","5","0.83"
"What is Docker?","Docker?","4","2","0.5"
"Write a paragraph on why visit and stay at Marysville in Victoria Australia.","Write a paragraph on why visit and stay at Marysville in Victoria Australia.","15","15","1.0"
"Brainstorm sea shanty lyrics","Brainstorm sea shanty lyrics","7","7","1.0"
"Give me some tips to impress my aspiring Father-in-law.","Tips to impress my future father-in-law.","12","9","0.75"
"List some of the characters on The X-Files who were infected by, but did not die from, exposure to the alien black oil virus.","List The X-Files characters infected by, but not killed by, exposure to the alien black oil virus.","29","22","0.76"
"Given a reference text about David Allan Farrish, tell me how many games he played in the NHL.","From the reference text about David Allan Farrish, how many NHL games did he play?","21","18","0.86"
"Based on this paragraph, tell me who was responsible for the discovery of nuclear fission.","From this paragraph, who discovered nuclear fission?","18","10","0.56"
"In dimensional modeling, what is a bus matrix?","Bus matrix in dimensional modeling?","10","6","0.6"
"Please important statistics from this passage.","Please important statistics from this passage.","7","7","1.0"
"Based on the passage below, summarize Beethoven's contributions to western music.","From the passage below, summarize Beethoven's contributions to Western music.","14","13","0.93"
"What is the primary cause of rain?","Primary cause of rain?","8","5","0.62"
"What rank did Elvis Presley hold in the US Army?","Elvis Presley rank in the Army?","11","8","0.73"
"What are the best places to eat and top Japanese sushi  restaurant in San Mateo?","Best places to eat and top Japanese sushi restaurant in San Mateo?","17","13","0.76"
"What are some common sauces or toppings for tacos?","Common taco sauces and toppings?","10","6","0.6"
"What are the five highest peaks in the world, their altitude, and the countries where are they located?","Five highest peaks in the world: names, elevations, countries.","21","13","0.62"
"Extract the names of individuals in the passage who have eponymous laws.","Extract names of individuals with eponymous laws in passage.","16","13","0.81"
"Imagine you are walking alone on the sidewalk of a residential street, and a large dog comes running toward you. It does not look aggressive, but it is also showing no fear. What might be an appropriate course of action.","Alone on a residential sidewalk, a large dog runs toward you. It doesn’t look aggressive but shows no fear. What’s an appropriate course of action?","45","32","0.71"
"What are the most airplanes to learn how to fly?","Best airplanes for learning to fly?","11","7","0.64"
"How can you identify and suss out misinformation seen in so-called news stories and on social media?","How to identify and debunk misinformation in so-called news stories and on social media?","20","17","0.85"
"Which of these actions should we do and not to do in case of security incidents? deleting forensic artefacts, hiding the security incident, informing the security team.","What actions to do and not do in a security incident: delete forensic artefacts, hide the incident, inform the security team?","32","26","0.81"
"How do I wire an electrical outlet?","How to wire an electrical outlet?","8","7","0.88"
